ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
UNH,mkt-rf-alpha,0.0,0.0,1,2014,0.9939,0.0008,0.0007648180155793151,1,0.0005,0.782,0.0001855758111232506,0.005235602094240838,0.005235602094240838
CI,mkt-rf-alpha,0.0,0.0,1,2014,0.8882,0.0003,0.0013752776231511314,1,0.001,0.8396,0.0003336980238921426,0.005235602094240838,0.005235602094240838
COR,mkt-rf-alpha,0.05701006486038646,0.05701006486038646,1,2014,0.7002,0.0007,0.014323716367153533,1,0.0012,0.6717,0.0034755134280152647,0.005235602094240838,0.005235602094240838
HUM,mkt-rf-alpha,0.0,0.0,1,2014,0.9168,0.001,0.030533673882760123,1,0.0013,0.4994,0.007408705315439056,0.005235602094240838,0.005235602094240838
WST,mkt-rf-alpha,0.0,0.0,1,2014,0.9308,0.0003,0.005628037737743226,1,0.0013,0.797,0.0013655897833720046,0.005235602094240838,0.005235602094240838
ICLR,mkt-rf-alpha,0.1911382514228373,0.1911382514228373,1,2014,0.5111,0.0008,0.0032629135764958273,1,0.0006,0.6888,0.000791714919430379,0.005235602094240838,0.005235602094240838
VTRS,mkt-rf-alpha,0.0,0.0,1,2014,1.0678,0.0006,0.006362170045706598,1,0.0008,0.6932,0.0015437199996416794,0.005235602094240838,0.005235602094240838
INCY,mkt-rf-alpha,0.0,0.0,1,2014,0.8948,0.0014,0.011953477921303454,1,0.0034,0.8214,0.002900397631598037,0.005235602094240838,0.005235602094240838
SRPT,mkt-rf-alpha,0.0,0.0,1,2014,1.3242,-0.0002,0.13595163278756703,1,0.0014,-0.5978,0.03298736956264423,0.005235602094240838,0.005235602094240838
ACHC,mkt-rf-alpha,0.0,0.0,1,2014,0.9694,0.0009,0.08923682735696073,1,0.0022,0.3311,0.021652466706462013,0.005235602094240838,0.005235602094240838
PRGO,mkt-rf-alpha,0.0,0.0,1,2014,0.6648,0.0002,0.012291020705078898,1,0.0008,0.5338,0.0029822991749873895,0.005235602094240838,0.005235602094240838
ARWR,mkt-rf-alpha,0.4914558040675251,0.4914558040675251,1,2014,0.1934,0.0009,0.2575465388255451,1,0.0065,0.4102,0.06249121604220344,0.005235602094240838,0.005235602094240838
BHC,mkt-rf-alpha,0.0,0.0,1,2014,0.9818,0.0003,0.002357685201825357,1,0.0015,0.8412,0.0005720698712498512,0.005235602094240838,0.005235602094240838
CNMD,mkt-rf-alpha,0.0,0.0,1,2014,0.6692,0.0002,0.0015910074463905278,1,0.0006,0.7787,0.0003860428119536559,0.005235602094240838,0.005235602094240838
TARO,mkt-rf-alpha,0.0,0.0,1,2014,0.871,0.0013,0.12099374512968387,1,0.0026,0.2728,0.029357980507655035,0.005235602094240838,0.005235602094240838
LGND,mkt-rf-alpha,0.0,0.0,1,2014,0.9999,0.0002,0.03118690750700871,1,0.0026,0.7118,0.00756720623618566,0.005235602094240838,0.005235602094240838
BCRX,mkt-rf-alpha,0.8281912818810291,0.8281912818810291,1,2014,0.6599,0.0028,0.023398781927088264,1,0.0063,0.8216,0.005677491699939108,0.005235602094240838,0.005235602094240838
MDRX,mkt-rf-alpha,0.0,0.0,1,2014,0.9861,-0.0009,0.016213212060353737,1,0.0012,0.6463,0.0039339815717264436,0.005235602094240838,0.005235602094240838
BLFS,mkt-rf-alpha,0.0,0.0,1,2014,-0.0729,-0.0056,0.3964732904469675,1,0.0054,0.0115,0.09620046986951496,0.005235602094240838,0.005235602094240838
SLP,mkt-rf-alpha,1.8340223511013627,1.8340223511013627,1,2014,-0.0422,0.0016,0.005596422160199528,1,0.0005,0.2624,0.0013579185644319572,0.005235602094240838,0.005235602094240838
OPK,mkt-rf-alpha,0.04371640505949949,0.04371640505949949,1,2014,0.7359,0.0007,0.008037795655522923,1,0.0012,0.7562,0.001950294603464291,0.005235602094240838,0.005235602094240838
