ticker,factor,year,coefficient,t-value
XOM,mkt-rf,2011,1.0291,17.782
XOM,smb,2011,-0.2993,-2.7732
XOM,hml,2011,0.4249,2.4024
XOM,rmw,2011,0.3558,1.6677
XOM,cma,2011,-0.0652,-0.2711
XOM,mom,2011,0.216,2.4234
XOM,alpha,2011,0.0005,0.962
XOM,total_return,2011,0.1871,1.0
JNJ,mkt-rf,2011,0.7383,15.2677
JNJ,smb,2011,-0.2311,-2.5633
JNJ,hml,2011,-0.0065,-0.0442
JNJ,rmw,2011,0.5014,2.8125
JNJ,cma,2011,0.1365,0.6794
JNJ,mom,2011,-0.1498,-2.0112
JNJ,alpha,2011,0.0001,0.3132
JNJ,total_return,2011,0.0993,1.0
PG,mkt-rf,2011,0.6931,15.4027
PG,smb,2011,-0.3107,-3.7019
PG,hml,2011,0.125,0.9089
PG,rmw,2011,0.8492,5.1182
PG,cma,2011,0.2395,1.2807
PG,mom,2011,-0.2107,-3.0409
PG,alpha,2011,-0.0001,-0.2168
PG,total_return,2011,0.0715,1.0
ASML,mkt-rf,2011,1.2132,9.2015
ASML,smb,2011,0.1642,0.668
ASML,hml,2011,-0.3716,-0.9222
ASML,rmw,2011,-0.2412,-0.4961
ASML,cma,2011,0.5764,1.0519
ASML,mom,2011,0.0195,0.0962
ASML,alpha,2011,0.0006,0.5427
ASML,total_return,2011,0.1039,1.0
HD,mkt-rf,2011,1.1177,14.9367
HD,smb,2011,-0.0578,-0.4143
HD,hml,2011,0.0599,0.2618
HD,rmw,2011,1.2048,4.3668
HD,cma,2011,1.1205,3.6033
HD,mom,2011,-0.0686,-0.5956
HD,alpha,2011,0.0003,0.5245
HD,total_return,2011,0.2366,1.0
MRK,mkt-rf,2011,0.8564,13.1228
MRK,smb,2011,-0.4283,-3.5191
MRK,hml,2011,0.1615,0.8098
MRK,rmw,2011,0.2469,1.026
MRK,cma,2011,0.3106,1.1451
MRK,mom,2011,-0.0199,-0.1976
MRK,alpha,2011,0.0002,0.431
MRK,total_return,2011,0.095,1.0
ORCL,mkt-rf,2011,1.2548,13.7023
ORCL,smb,2011,-0.0839,-0.4912
ORCL,hml,2011,-0.5542,-1.9802
ORCL,rmw,2011,-0.1864,-0.5521
ORCL,cma,2011,-0.8157,-2.1434
ORCL,mom,2011,0.014,0.0994
ORCL,alpha,2011,-0.0008,-1.028
ORCL,total_return,2011,-0.1742,1.0
COST,mkt-rf,2011,0.853,12.0487
COST,smb,2011,-0.3274,-2.4797
COST,hml,2011,0.1931,0.8924
COST,rmw,2011,0.6021,2.3068
COST,cma,2011,0.3094,1.0518
COST,mom,2011,0.1836,1.684
COST,alpha,2011,0.0003,0.4082
COST,total_return,2011,0.1678,1.0
CVX,mkt-rf,2011,1.025,15.9516
CVX,smb,2011,-0.3064,-2.5572
CVX,hml,2011,-0.0709,-0.3611
CVX,rmw,2011,-0.2262,-0.9549
