year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n
2016,mkt-rf-alpha,0.21429,0.0,15.42828,1.0,25276522513486.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01059,t-value,
2017,mkt-rf-alpha,0.25524,0.00043,1.47553,0.69339,8.07629,0.06402,0.68896,-0.33884,-5.05765,-0.21201,-2.0341,0.38722,3.21434,-0.01279,-0.20691,0.00616,z-score,591.0
2017,mkt-rf-alpha,0.20796,0.0,14.61191,1.0,2053118778381699.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549,t-value,
2018,mkt-rf-alpha,-0.01215,0.00011,0.47252,0.79545,29.28442,0.17575,3.63883,-0.28361,-4.84682,-0.40607,-5.76847,-0.02147,-0.25613,-0.01267,-0.25253,0.00999,z-score,571.0
2018,mkt-rf-alpha,-0.08268,-0.0,-15.50042,1.0,1891148602845480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992,t-value,
2019,mkt-rf-alpha,0.31038,0.00037,1.91321,0.72679,20.78404,0.12345,2.39517,-0.21221,-3.98626,-0.15041,-2.3796,0.32548,3.79421,0.16148,3.94646,0.00596,z-score,546.0
2019,mkt-rf-alpha,0.27953,0.0,15.42452,1.0,264459122705260.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762,t-value,
2020,mkt-rf-alpha,0.35602,0.00052,0.56339,0.7535,22.64972,0.40265,3.4082,-0.11236,-0.81369,-0.11714,-0.60325,0.22967,0.92273,0.32603,3.50974,0.03058,z-score,611.0
2020,mkt-rf-alpha,0.2009,0.0,15.28811,1.0,89389488228555.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,t-value,
2021,mkt-rf-alpha,0.28003,0.00093,3.28916,0.69183,15.48562,0.16226,3.07318,-0.14312,-3.60021,-0.48485,-8.65945,0.1261,1.66176,0.13127,4.04071,0.01156,z-score,600.0
2021,mkt-rf-alpha,0.25381,0.0,15.26279,1.0,207469907477543.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00945,t-value,
2022,mkt-rf-alpha,-0.15522,0.00052,1.22063,0.96904,33.01427,0.02007,0.22672,-0.50369,-7.53762,-0.50853,-7.75262,0.05854,0.53294,0.1937,3.41119,0.02365,z-score,696.0
2022,mkt-rf-alpha,-0.14435,-0.0,-15.41016,1.0,1726574776747338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01912,t-value,
2023,mkt-rf-alpha,0.23951,0.00044,1.42968,0.83987,17.59157,0.17008,2.47023,-0.2652,-4.20514,-0.48244,-6.44079,0.34812,3.67707,0.202,5.07993,0.01066,z-score,692.0
2023,mkt-rf-alpha,0.23616,0.0,15.35469,1.0,33034133794257.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,t-value,
