ticker,factor,year,coefficient,t-value
MSFT,mkt-rf,2005,0.9068,10.6327
MSFT,smb,2005,-0.4997,-3.7328
MSFT,hml,2005,-0.3462,-1.4749
MSFT,rmw,2005,-0.6219,-3.1956
MSFT,cma,2005,-0.6772,-2.197
MSFT,mom,2005,-0.1695,-1.2978
MSFT,alpha,2005,-0.0001,-0.248
MSFT,total_return,2005,-0.0094,1.0
AAPL,mkt-rf,2005,1.4028,5.7237
AAPL,smb,2005,-0.6194,-1.61
AAPL,hml,2005,-1.9187,-2.8443
AAPL,rmw,2005,-2.7425,-4.9037
AAPL,cma,2005,-0.3388,-0.3825
AAPL,mom,2005,1.4962,3.9864
AAPL,alpha,2005,0.003,2.2703
AAPL,total_return,2005,1.2329,1.0
GOOGL,mkt-rf,2005,0.7238,3.0345
GOOGL,smb,2005,-0.3014,-0.805
GOOGL,hml,2005,-0.3259,-0.4964
GOOGL,rmw,2005,-1.4395,-2.6447
GOOGL,cma,2005,-0.9252,-1.0731
GOOGL,mom,2005,0.737,2.0178
GOOGL,alpha,2005,0.0026,2.0369
GOOGL,total_return,2005,1.1516,1.0
AMZN,mkt-rf,2005,1.2175,4.9925
AMZN,smb,2005,-0.457,-1.1938
AMZN,hml,2005,-1.7805,-2.6526
AMZN,rmw,2005,-0.8766,-1.5752
AMZN,cma,2005,-0.8855,-1.0046
AMZN,mom,2005,0.5495,1.4712
AMZN,alpha,2005,0.0003,0.2701
AMZN,total_return,2005,0.0649,1.0
NVDA,mkt-rf,2005,0.9694,3.9159
NVDA,smb,2005,-0.0879,-0.2263
NVDA,hml,2005,-2.0417,-2.9963
NVDA,rmw,2005,-1.6629,-2.9435
NVDA,cma,2005,2.2853,2.5538
NVDA,mom,2005,0.9446,2.4915
NVDA,alpha,2005,0.0024,1.8023
NVDA,total_return,2005,0.5531,1.0
BRK-B,mkt-rf,2005,0.34,3.4173
BRK-B,smb,2005,-0.0427,-0.2731
BRK-B,hml,2005,0.3151,1.1506
BRK-B,rmw,2005,-0.5674,-2.4988
BRK-B,cma,2005,-0.1908,-0.5305
BRK-B,mom,2005,-0.1094,-0.7178
BRK-B,alpha,2005,-0.0002,-0.3305
BRK-B,total_return,2005,-0.0005,1.0
LLY,mkt-rf,2005,0.4793,3.7444
LLY,smb,2005,0.1603,0.7978
LLY,hml,2005,-1.2001,-3.4063
LLY,rmw,2005,0.3587,1.2279
LLY,cma,2005,-0.2408,-0.5206
LLY,mom,2005,-0.4578,-2.3352
LLY,alpha,2005,0.0006,0.9206
LLY,total_return,2005,0.026,1.0
TSM,mkt-rf,2005,0.9064,5.1906
TSM,smb,2005,0.1609,0.587
TSM,hml,2005,-0.6378,-1.327
TSM,rmw,2005,-1.4874,-3.7328
TSM,cma,2005,0.5415,0.858
TSM,mom,2005,0.3846,1.4382
TSM,alpha,2005,0.001,1.0768
TSM,total_return,2005,0.27,1.0
NVO,mkt-rf,2005,0.5024,2.9445
NVO,smb,2005,0.105,0.392
NVO,hml,2005,0.8726,1.8581
NVO,rmw,2005,-0.6648,-1.7074
NVO,cma,2005,-0.5721,-0.9276
NVO,mom,2005,-0.3146,-1.2041
NVO,alpha,2005,0.0,0.0158
NVO,total_return,2005,0.0685,1.0
JPM,mkt-rf,2005,1.1293,16.5465
JPM,smb,2005,-0.093,-0.8683
JPM,hml,2005,0.7603,4.0473
JPM,rmw,2005,-0.0104,-0.0665
JPM,cma,2005,-0.8828,-3.5787
JPM,mom,2005,-0.6879,-6.5819
JPM,alpha,2005,-0.0,-0.0022
JPM,total_return,2005,0.057,1.0
UNH,mkt-rf,2005,0.9199,6.7113
UNH,smb,2005,0.0376,0.1748
UNH,hml,2005,0.0572,0.1517
UNH,rmw,2005,0.1688,0.5397
UNH,cma,2005,0.1869,0.3772
UNH,mom,2005,0.2431,1.1583
UNH,alpha,2005,0.0011,1.4624
UNH,total_return,2005,0.4121,1.0
WMT,mkt-rf,2005,0.797,8.5911
WMT,smb,2005,0.3704,2.5436
WMT,hml,2005,0.1423,0.5571
WMT,rmw,2005,0.662,3.127
WMT,cma,2005,-0.6817,-2.0329
WMT,mom,2005,-0.7015,-4.9375
WMT,alpha,2005,-0.0004,-0.7457
WMT,total_return,2005,-0.1022,1.0
XOM,mkt-rf,2005,1.2451,12.6356
XOM,smb,2005,-0.4528,-2.9273
XOM,hml,2005,0.5439,2.0055
XOM,rmw,2005,0.7547,3.3562
XOM,cma,2005,-0.5769,-1.6198
XOM,mom,2005,1.2602,8.3508
XOM,alpha,2005,-0.0009,-1.6719
XOM,total_return,2005,0.1187,1.0
JNJ,mkt-rf,2005,0.6198,6.7562
JNJ,smb,2005,-0.3617,-2.5119
JNJ,hml,2005,-0.7515,-2.9765
JNJ,rmw,2005,0.1722,0.8225
JNJ,cma,2005,-0.5088,-1.5345
JNJ,mom,2005,-0.1232,-0.8771
JNJ,alpha,2005,-0.0001,-0.1604
JNJ,total_return,2005,-0.0347,1.0
PG,mkt-rf,2005,0.9362,10.4361
PG,smb,2005,-0.4944,-3.5106
PG,hml,2005,-0.3646,-1.4764
PG,rmw,2005,0.6396,3.1241
PG,cma,2005,0.4547,1.4022
PG,mom,2005,-0.2092,-1.5224
PG,alpha,2005,0.0004,0.7855
PG,total_return,2005,0.0715,1.0
ASML,mkt-rf,2005,1.3005,7.9909
ASML,smb,2005,0.2385,0.9337
ASML,hml,2005,-1.2131,-2.7081
ASML,rmw,2005,-0.9221,-2.4829
ASML,cma,2005,0.688,1.1695
ASML,mom,2005,-0.1381,-0.5539
ASML,alpha,2005,0.0015,1.6842
ASML,total_return,2005,0.262,1.0
HD,mkt-rf,2005,1.2885,11.8373
HD,smb,2005,0.2232,1.3061
HD,hml,2005,-0.3071,-1.0251
HD,rmw,2005,0.6666,2.6836
HD,cma,2005,-0.4369,-1.1105
HD,mom,2005,-0.4598,-2.758
HD,alpha,2005,-0.0001,-0.1838
HD,total_return,2005,-0.0433,1.0
MRK,mkt-rf,2005,0.8277,4.159
MRK,smb,2005,-0.2578,-0.8251
MRK,hml,2005,-0.7524,-1.3736
MRK,rmw,2005,0.5546,1.2212
MRK,cma,2005,0.9258,1.2869
MRK,mom,2005,-0.4063,-1.3329
MRK,alpha,2005,0.0007,0.6893
MRK,total_return,2005,0.0404,1.0
ORCL,mkt-rf,2005,1.0464,6.8463
ORCL,smb,2005,-0.0245,-0.1019
ORCL,hml,2005,-0.4916,-1.1687
ORCL,rmw,2005,0.1246,0.3573
ORCL,cma,2005,0.9964,1.8036
ORCL,mom,2005,-0.2865,-1.2242
ORCL,alpha,2005,-0.0001,-0.1113
