year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2008,mkt-rf-alpha,-0.19563,0.00108,1.52735,1.07608,27.39201,0,0,0,0,0,0,0,0,0,0,0.02462,z-score,8.0,utilities
2008,mkt-rf-alpha,-0.27771,0.00095,1.42586,1.29087,35.15,0,0,0,0,0,0,0,0,0,0,0.02857,t-value,,utilities
2009,mkt-rf-alpha,0.07675,-0.0001,-0.1874,0.66049,11.9226,0,0,0,0,0,0,0,0,0,0,0.01279,z-score,10.0,utilities
2009,mkt-rf-alpha,0.16038,-0.00013,-0.27074,0.80304,16.21162,0,0,0,0,0,0,0,0,0,0,0.01412,t-value,,utilities
2010,mkt-rf-alpha,0.16534,0.00029,1.08413,0.67221,16.72201,0,0,0,0,0,0,0,0,0,0,0.00826,z-score,16.0,utilities
2010,mkt-rf-alpha,0.11147,-2e-05,-0.08868,0.87403,21.67624,0,0,0,0,0,0,0,0,0,0,0.01008,t-value,,utilities
2011,mkt-rf-alpha,0.0369,6e-05,0.19346,0.6426,17.30589,0,0,0,0,0,0,0,0,0,0,0.01123,z-score,19.0,utilities
2011,mkt-rf-alpha,0.09169,0.00024,0.94248,0.73753,25.22025,0,0,0,0,0,0,0,0,0,0,0.01178,t-value,,utilities
2012,mkt-rf-alpha,0.07445,-0.00014,-0.56725,0.49686,12.61844,0,0,0,0,0,0,0,0,0,0,0.00533,z-score,13.0,utilities
2012,mkt-rf-alpha,0.01903,-0.00046,-1.87862,0.59875,15.70896,0,0,0,0,0,0,0,0,0,0,0.00596,t-value,,utilities
2013,mkt-rf-alpha,0.10797,-0.00052,-1.83313,0.81997,16.71039,0,0,0,0,0,0,0,0,0,0,0.00691,z-score,15.0,utilities
2013,mkt-rf-alpha,0.1708,-0.00037,-1.39529,0.86729,18.80672,0,0,0,0,0,0,0,0,0,0,0.00701,t-value,,utilities
2014,mkt-rf-alpha,0.30921,0.0008,1.28706,0.76801,7.64406,0,0,0,0,0,0,0,0,0,0,0.01123,z-score,14.0,utilities
2014,mkt-rf-alpha,0.19821,0.00047,1.3522,0.62478,11.24806,0,0,0,0,0,0,0,0,0,0,0.00693,t-value,,utilities
2015,mkt-rf-alpha,-0.03555,-5e-05,-0.08335,0.75077,11.8274,0,0,0,0,0,0,0,0,0,0,0.01157,z-score,18.0,utilities
2015,mkt-rf-alpha,-0.0375,8e-05,0.17671,0.82482,15.64108,0,0,0,0,0,0,0,0,0,0,0.01057,t-value,,utilities
2016,mkt-rf-alpha,0.16085,0.00039,0.92208,0.75781,12.68547,0,0,0,0,0,0,0,0,0,0,0.00867,z-score,15.0,utilities
2016,mkt-rf-alpha,0.24731,0.00055,1.32535,0.81669,13.95284,0,0,0,0,0,0,0,0,0,0,0.00862,t-value,,utilities
2017,mkt-rf-alpha,0.12275,9e-05,0.23622,0.37387,3.77481,0,0,0,0,0,0,0,0,0,0,0.00592,z-score,14.0,utilities
2017,mkt-rf-alpha,0.16079,0.00024,0.7663,0.44861,5.33862,0,0,0,0,0,0,0,0,0,0,0.00525,t-value,,utilities
2018,mkt-rf-alpha,-4e-05,-1e-05,-0.02951,0.35304,8.01331,0,0,0,0,0,0,0,0,0,0,0.00731,z-score,17.0,utilities
2018,mkt-rf-alpha,0.03424,0.00021,0.47537,0.47416,9.97254,0,0,0,0,0,0,0,0,0,0,0.0084,t-value,,utilities
2019,mkt-rf-alpha,0.22497,0.00043,1.3292,0.45968,9.2815,0,0,0,0,0,0,0,0,0,0,0.00656,z-score,16.0,utilities
2019,mkt-rf-alpha,0.2204,0.00035,1.16642,0.53998,11.80182,0,0,0,0,0,0,0,0,0,0,0.00609,t-value,,utilities
2020,mkt-rf-alpha,0.15569,0.00086,0.91571,1.07034,22.63126,0,0,0,0,0,0,0,0,0,0,0.02907,z-score,27.0,utilities
2020,mkt-rf-alpha,-0.09561,-0.00028,-0.332,1.16159,27.64014,0,0,0,0,0,0,0,0,0,0,0.03011,t-value,,utilities
2021,mkt-rf-alpha,0.09142,-0.0001,-0.18663,0.83172,11.23852,0,0,0,0,0,0,0,0,0,0,0.01163,z-score,22.0,utilities
2021,mkt-rf-alpha,0.1428,-0.00025,-0.64295,0.67128,12.619,0,0,0,0,0,0,0,0,0,0,0.00782,t-value,,utilities
2022,mkt-rf-alpha,-0.04046,-0.0001,-0.18326,0.61559,13.4685,0,0,0,0,0,0,0,0,0,0,0.01202,z-score,20.0,utilities
2022,mkt-rf-alpha,0.02828,0.00014,0.27429,0.7028,17.0726,0,0,0,0,0,0,0,0,0,0,0.01205,t-value,,utilities
2023,mkt-rf-alpha,0.12011,0.00027,0.53375,0.64356,8.76793,0,0,0,0,0,0,0,0,0,0,0.00974,z-score,15.0,utilities
2023,mkt-rf-alpha,0.01228,-0.00021,-0.45803,0.81407,12.32929,0,0,0,0,0,0,0,0,0,0,0.01086,t-value,,utilities
