year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,-0.15426,0.00105,0.9,1.37809,10.60097,0,0,0,0,0,0,0,0,0,0,0.04168,z-score,35.0,technology
2001,mkt-rf-alpha,0.08597,0.00097,1.87305,1.05063,18.27503,0,0,0,0,0,0,0,0,0,0,0.02825,t-value,,technology
2002,mkt-rf-alpha,-0.265,0.00185,1.93468,1.2947,13.9974,0,0,0,0,0,0,0,0,0,0,0.03341,z-score,46.0,technology
2002,mkt-rf-alpha,-0.40134,0.00107,1.631,1.54263,24.22606,0,0,0,0,0,0,0,0,0,0,0.0362,t-value,,technology
2003,mkt-rf-alpha,0.84214,0.0009,1.35819,0.62919,7.50628,0,0,0,0,0,0,0,0,0,0,0.01538,z-score,39.0,technology
2003,mkt-rf-alpha,0.63304,0.00013,0.61981,0.75947,28.47177,0,0,0,0,0,0,0,0,0,0,0.01301,t-value,,technology
2004,mkt-rf-alpha,0.14844,0.00073,1.27226,0.65382,6.4442,0,0,0,0,0,0,0,0,0,0,0.01346,z-score,45.0,technology
2004,mkt-rf-alpha,0.10879,0.00047,2.06952,0.97387,24.33208,0,0,0,0,0,0,0,0,0,0,0.01465,t-value,,technology
2005,mkt-rf-alpha,0.18071,0.00074,1.4812,0.89708,9.47779,0,0,0,0,0,0,0,0,0,0,0.01126,z-score,38.0,technology
2005,mkt-rf-alpha,0.05548,0.00036,1.79749,1.08617,28.41542,0,0,0,0,0,0,0,0,0,0,0.01015,t-value,,technology
2006,mkt-rf-alpha,0.20632,0.00071,1.79764,0.77284,9.33063,0,0,0,0,0,0,0,0,0,0,0.01135,z-score,41.0,technology
2006,mkt-rf-alpha,0.19151,0.00029,1.43953,1.03825,24.45549,0,0,0,0,0,0,0,0,0,0,0.01052,t-value,,technology
2007,mkt-rf-alpha,0.11673,0.00021,0.49187,0.89968,19.5374,0,0,0,0,0,0,0,0,0,0,0.01212,z-score,52.0,technology
2007,mkt-rf-alpha,0.06866,0.0,0.00524,0.96265,46.61196,0,0,0,0,0,0,0,0,0,0,0.01075,t-value,,technology
2008,mkt-rf-alpha,-0.49348,0.0003,0.15103,1.38322,12.75059,0,0,0,0,0,0,0,0,0,0,0.04822,z-score,37.0,technology
2008,mkt-rf-alpha,-0.61805,0.00037,0.42423,1.61308,33.26932,0,0,0,0,0,0,0,0,0,0,0.04417,t-value,,technology
2009,mkt-rf-alpha,0.42189,0.0012,1.2347,0.59527,5.81326,0,0,0,0,0,0,0,0,0,0,0.01822,z-score,41.0,technology
