ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
LLY,mkt-rf-alpha,0.0,0.0,1,2019,0.9511,-0.0002,0.2206392397911419,1,0.0015,0.8524,0.0009353701471980212,0.00042140750105351877,0.00042140750105351877
PG,mkt-rf-alpha,0.09250971737547178,0.09250971737547178,1,2019,0.7959,0.0006,0.1099666303344521,1,0.0003,0.6635,0.000466188622205978,0.00042140750105351877,0.00042140750105351877
MRK,mkt-rf-alpha,0.0,0.0,1,2019,1.0062,0.0,0.44680172800920337,1,0.0015,0.7746,0.0018941553573693804,0.00042140750105351877,0.00042140750105351877
KO,mkt-rf-alpha,0.0,0.0,1,2019,0.7613,0.0001,0.12300648000402081,1,0.0003,0.6321,0.0005214692971956597,0.00042140750105351877,0.00042140750105351877
NVS,mkt-rf-alpha,0.06024169328719673,0.06024169328719673,1,2019,0.6254,0.0004,0.17383697680514223,1,0.0005,0.719,0.0007369582977923809,0.00042140750105351877,0.00042140750105351877
MCD,mkt-rf-alpha,0.0,0.0,1,2019,0.6584,-0.0001,0.06461785377658893,1,0.0002,0.6171,0.00027393863147753096,0.00042140750105351877,0.00042140750105351877
AZN,mkt-rf-alpha,0.18201856024994958,0.18201856024994958,1,2019,0.6229,0.0006,0.43448862155370277,1,0.0006,0.5098,0.0018419556117182947,0.00042140750105351877,0.00042140750105351877
DHR,mkt-rf-alpha,0.0,0.0,1,2019,1.1032,0.0005,0.00290697285627333,1,0.0005,0.9248,1.2323717354387847e-05,0.00042140750105351877,0.00042140750105351877
VZ,mkt-rf-alpha,0.0,0.0,1,2019,0.5934,0.0,0.2774497950394541,1,0.0007,0.7056,0.0011762107949237685,0.00042140750105351877,0.00042140750105351877
PFE,mkt-rf-alpha,0.0,0.0,1,2019,0.9486,-0.0012,0.08633709383131646,1,0.001,0.8821,0.00036601440542531296,0.00042140750105351877,0.00042140750105351877
TTE,mkt-rf-alpha,0.0,0.0,1,2019,0.6178,-0.0004,0.017192668035673403,1,0.0002,0.8455,7.288598549594974e-05,0.00042140750105351877,0.00042140750105351877
MDT,mkt-rf-alpha,0.0,0.0,1,2019,0.8501,0.0002,0.13860031296874395,1,0.0006,0.7948,0.0005875772381466964,0.00042140750105351877,0.00042140750105351877
NEE,mkt-rf-alpha,0.629217846518776,0.629217846518776,1,2019,0.4535,0.001,0.39885743997252476,1,0.0004,0.288,0.0016909020475745157,0.00042140750105351877,0.00042140750105351877
TJX,mkt-rf-alpha,0.0,0.0,1,2019,1.0087,0.0003,0.2764115904479279,1,0.0009,0.7619,0.0011718094672972014,0.00042140750105351877,0.00042140750105351877
SBUX,mkt-rf-alpha,0.0,0.0,1,2019,0.9847,0.0004,0.30261587433804854,1,0.0008,0.7201,0.0012828989765917532,0.00042140750105351877,0.00042140750105351877
PGR,mkt-rf-alpha,0.0,0.0,1,2019,1.0957,0.0001,0.09792345707274851,1,0.0007,0.8497,0.0004151332217378007,0.00042140750105351877,0.00042140750105351877
MMC,mkt-rf-alpha,0.0,0.0,1,2019,1.1204,0.0005,0.09194339862555782,1,0.0004,0.7807,0.00038978157460877496,0.00042140750105351877,0.00042140750105351877
AMT,mkt-rf-alpha,0.812650611993332,0.812650611993332,1,2019,0.3857,0.0011,0.32416900165813184,1,0.0005,0.538,0.0013742705381192843,0.00042140750105351877,0.00042140750105351877
FI,mkt-rf-alpha,0.0,0.0,1,2019,1.1371,0.0006,0.13671078061216627,1,0.0005,0.7637,0.0005795668218663442,0.00042140750105351877,0.00042140750105351877
