ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
EPD,mkt-rf-alpha,0.44768431716865803,0.44768431716865803,1,2011,0.3384,0.0008,0.8578771630362935,1,0.0012,0.3581,0.041167689510115436,0.009174311926605505,0.009174311926605505
VLO,mkt-rf-alpha,0.0,0.0,1,2011,1.3047,0.0005,0.11873885096823407,1,0.0009,0.9203,0.005698023400165193,0.009174311926605505,0.009174311926605505
LNG,mkt-rf-alpha,5.777611928656599,5.777611928656599,1,2011,0.4624,0.0067,2.8546246993153064,1,0.0028,0.43,0.101747280870754,0.009174311926605505,0.009174311926605505
DINO,mkt-rf-alpha,0.225244024710039,0.225244024710039,1,2011,0.9263,0.0018,0.7612455144943012,1,0.0016,0.7216,0.036530543453041714,0.009174311926605505,0.009174311926605505
TPL,mkt-rf-alpha,0.49528256236719004,0.49528256236719004,1,2011,0.5186,0.001,0.12473464796570072,1,0.0007,0.4573,0.005985748869256561,0.009174311926605505,0.009174311926605505
PAA,mkt-rf-alpha,0.691674226117845,0.691674226117845,1,2011,0.3178,0.001,0.14755913898979903,1,0.0007,0.3332,0.0070810473574233835,0.009174311926605505,0.009174311926605505
UGP,mkt-rf-alpha,0.015550933534040903,0.015550933534040903,1,2011,0.9773,0.0006,0.2700683531006118,1,0.001,0.7684,0.012960002417600017,0.009174311926605505,0.009174311926605505
SM,mkt-rf-alpha,0.3033247077583159,0.3033247077583159,1,2011,0.9087,0.002,0.08695744847859513,1,0.0014,1.0764,0.004172901895288259,0.009174311926605505,0.009174311926605505
TGS,mkt-rf-alpha,0.0,0.0,1,2011,0.5975,-0.0008,2.839469678683672,1,0.0024,0.2778,0.101747280870754,0.009174311926605505,0.009174311926605505
ARLP,mkt-rf-alpha,0.9431624887626914,0.9431624887626914,1,2011,0.4464,0.0014,0.9166948280605209,1,0.0019,0.7521,0.04399022340629392,0.009174311926605505,0.009174311926605505
CPE,mkt-rf-alpha,0.0,0.0,1,2011,1.5361,0.0007,1.6519156408633642,1,0.0053,0.9444,0.07927189710852495,0.009174311926605505,0.009174311926605505
GEL,mkt-rf-alpha,1.2464219934453928,1.2464219934453928,1,2011,0.1754,0.0013,0.9126669767033272,1,0.0013,0.4266,0.0437969354377939,0.009174311926605505,0.009174311926605505
SBR,mkt-rf-alpha,0.873982025535784,0.873982025535784,1,2011,0.1314,0.001,1.4822125154166643,1,0.0016,0.3296,0.07112820722108315,0.009174311926605505,0.009174311926605505
PDS,mkt-rf-alpha,0.0,0.0,1,2011,1.4764,0.0014,0.03889911242221425,1,0.0009,1.065,0.0018666851752399919,0.009174311926605505,0.009174311926605505
TK,mkt-rf-alpha,0.0,0.0,1,2011,0.8311,-0.0004,0.06849186508762449,1,0.001,1.0424,0.0032867780579639372,0.009174311926605505,0.009174311926605505
LEU,mkt-rf-alpha,0.0,0.0,1,2011,0.9812,-0.0043,0.0332711557313407,1,0.0009,1.0752,0.0015966115754180357,0.009174311926605505,0.009174311926605505
CLB,mkt-rf-alpha,0.23790972214814168,0.23790972214814168,1,2011,0.8165,0.0011,0.27924596875010815,1,0.0013,0.9186,0.013400416555871767,0.009174311926605505,0.009174311926605505
