ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
DIS,mkt-rf-alpha,0.0,0.0,1,2001,1.3097,-0.0014,0.06824174333410865,1,-0.0002,0.4252,0.04016499329561434,0.02127659574468085,0.02127659574468085
TU,mkt-rf-alpha,0.0,0.0,1,2001,0.5096,-0.0022,1.6301152382249102,1,0.0013,0.1346,0.16183678363911877,0.02127659574468085,0.02127659574468085
WPP,mkt-rf-alpha,0.0,0.0,1,2001,1.1725,-0.0007,0.009793471562452213,1,-0.0001,0.9724,0.005764136442424031,0.02127659574468085,0.02127659574468085
LGF-A,mkt-rf-alpha,0.0,0.0,1,2001,0.9855,0.0017,0.3522871472677854,1,0.0005,0.6343,0.16183678363911877,0.02127659574468085,0.02127659574468085
WLY,mkt-rf-alpha,0.0,0.0,1,2001,1.0592,0.0001,0.9361100211556738,1,0.0012,0.4756,0.16183678363911877,0.02127659574468085,0.02127659574468085
SCHL,mkt-rf-alpha,0.25863440341680455,0.25863440341680455,1,2001,0.5603,0.0008,0.9678288297621976,1,0.002,0.6512,0.16183678363911877,0.02127659574468085,0.02127659574468085
SHEN,mkt-rf-alpha,0.8849867034540498,0.8849867034540498,1,2001,0.2819,0.0012,0.23674502000438616,1,0.0,0.333,0.13934084442554862,0.02127659574468085,0.02127659574468085
DLX,mkt-rf-alpha,0.0,0.0,1,2001,0.8183,0.0033,0.009423032921792092,1,-0.0002,0.9333,0.005546107640819345,0.02127659574468085,0.02127659574468085
SSP,mkt-rf-alpha,0.028714012804557782,0.028714012804557782,1,2001,0.6811,0.0002,0.9723898555253255,1,0.0016,0.5726,0.16183678363911877,0.02127659574468085,0.02127659574468085
