ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
UNH,mkt-rf-alpha,0.0015207944873999847,0.0015207944873999847,1,2017,0.8967,0.0005,0.08853916562414892,1,0.0012,0.8169,0.00356338659214206,0.004048582995951417,0.004048582995951417
MRK,mkt-rf-alpha,0.0,0.0,1,2017,0.7992,-0.0005,0.06789600380511543,1,0.0005,0.7629,0.0027325727311031485,0.004048582995951417,0.004048582995951417
DHR,mkt-rf-alpha,0.0,0.0,1,2017,0.8418,-0.0001,0.00971831797405256,1,0.0002,0.8068,0.0003911277424266439,0.004048582995951417,0.004048582995951417
HUM,mkt-rf-alpha,0.0,0.0,1,2017,0.743,-0.0,0.11731398125820579,1,0.0004,0.629,0.0047214706050073395,0.004048582995951417,0.004048582995951417
RMD,mkt-rf-alpha,0.0,0.0,1,2017,1.0563,0.0004,0.06733406024879267,1,0.0008,0.8074,0.0027099565010988867,0.004048582995951417,0.004048582995951417
ICLR,mkt-rf-alpha,0.0993318925717572,0.0993318925717572,1,2017,0.6713,0.001,0.04212923897255093,1,0.0002,0.6107,0.0016955520670842075,0.004048582995951417,0.004048582995951417
NBIX,mkt-rf-alpha,0.21637970689147212,0.21637970689147212,1,2017,0.7573,0.0024,0.002181663218664911,1,0.0005,0.8623,8.780418707537108e-05,0.004048582995951417,0.004048582995951417
TECH,mkt-rf-alpha,0.02827477119337085,0.02827477119337085,1,2017,0.4956,0.0005,0.09544776581658752,1,0.0004,0.6731,0.0038414331845473904,0.004048582995951417,0.004048582995951417
BIO,mkt-rf-alpha,0.0,0.0,1,2017,1.0963,-0.0001,0.16734348552258857,1,0.001,0.7531,0.006734980258622051,0.004048582995951417,0.004048582995951417
EHC,mkt-rf-alpha,0.0,0.0,1,2017,0.9768,0.0001,0.08253959177282044,1,0.0003,0.6159,0.0033219250776847908,0.004048582995951417,0.004048582995951417
MMSI,mkt-rf-alpha,0.0,0.0,1,2017,1.3003,0.0009,0.019337469438165854,1,0.0011,0.8539,0.0007782643854407729,0.004048582995951417,0.004048582995951417
ALKS,mkt-rf-alpha,0.0,0.0,1,2017,0.9648,-0.0005,0.13433756546445427,1,0.0009,0.764,0.005406609337489384,0.004048582995951417,0.004048582995951417
HAE,mkt-rf-alpha,0.0,0.0,1,2017,0.9779,0.0007,0.03231175448855907,1,0.0006,0.8265,0.0013004332252450476,0.004048582995951417,0.004048582995951417
IART,mkt-rf-alpha,0.0,0.0,1,2017,0.7695,-0.0002,0.09072082884281374,1,0.0012,0.8157,0.0036511907792174275,0.004048582995951417,0.004048582995951417
STAA,mkt-rf-alpha,0.37899799462310263,0.37899799462310263,1,2017,0.446,0.0016,1.192345060006971,1,0.0015,0.3503,0.0479876489696308,0.004048582995951417,0.004048582995951417
USPH,mkt-rf-alpha,0.0,0.0,1,2017,1.0332,-0.0003,0.30705257027542215,1,0.0008,0.6002,0.012357774147622758,0.004048582995951417,0.004048582995951417
NHC,mkt-rf-alpha,0.0,0.0,1,2017,0.5544,-0.0011,0.20345662289215452,1,0.0006,0.6194,0.008188405628013571,0.004048582995951417,0.004048582995951417
ATRI,mkt-rf-alpha,0.0,0.0,1,2017,0.6567,0.0004,0.7495500653762874,1,0.001,0.3617,0.030166724909507996,0.004048582995951417,0.004048582995951417
OSUR,mkt-rf-alpha,0.22785236705957723,0.22785236705957723,1,2017,0.7487,0.0024,0.029452453451975582,1,0.0004,0.8062,0.001185356525517481,0.004048582995951417,0.004048582995951417
AMRN,mkt-rf-alpha,0.12852047448782014,0.12852047448782014,1,2017,0.4378,0.0008,2.9114295653082523,1,0.0034,0.3318,0.10316330429731417,0.004048582995951417,0.004048582995951417
ISRG,mkt-rf-alpha,0.1342568045718727,0.1342568045718727,1,2017,0.6679,0.0012,0.3263404564586182,1,0.0012,0.6861,0.013134042983357266,0.004048582995951417,0.004048582995951417
EXEL,mkt-rf-alpha,0.0,0.0,1,2017,1.2496,0.002,1.4352699538549716,1,0.0053,0.6986,0.057764512163826054,0.004048582995951417,0.004048582995951417
ANIP,mkt-rf-alpha,0.09605017815157824,0.09605017815157824,1,2017,0.1995,0.0006,0.35999095883135807,1,0.0024,0.7709,0.014488356050671293,0.004048582995951417,0.004048582995951417
LXRX,mkt-rf-alpha,0.0,0.0,1,2017,0.7068,-0.0015,0.5132197444392511,1,0.0015,0.6438,0.020655269826245118,0.004048582995951417,0.004048582995951417
CYTK,mkt-rf-alpha,0.0,0.0,1,2017,1.4139,-0.0021,0.4771892458279679,1,0.0019,0.7052,0.019205170373030694,0.004048582995951417,0.004048582995951417
