ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
BAC,mkt-rf-alpha,0.0,0.0,1,2015,1.2111,-0.0001,0.02557196096175156,1,0.0004,0.8772,0.0005275645306989937,0.0028653295128939827,0.0028653295128939827
CB,mkt-rf-alpha,0.0,0.0,1,2015,0.9346,0.0003,0.05480261953446902,1,0.0002,0.7583,0.0011306101358054522,0.0028653295128939827,0.0028653295128939827
BMO,mkt-rf-alpha,0.0,0.0,1,2015,0.8737,-0.0003,0.12217714681725723,1,0.0002,0.5852,0.0025205860911174096,0.0028653295128939827,0.0028653295128939827
BN,mkt-rf-alpha,0.0,0.0,1,2015,1.0691,0.0,0.36073201551524053,1,0.0008,0.7667,0.007442112740514861,0.0028653295128939827,0.0028653295128939827
TRV,mkt-rf-alpha,0.0023737016584143658,0.0023737016584143658,1,2015,0.9606,0.0004,0.27930653251374266,1,0.0004,0.6599,0.005762257339872105,0.0028653295128939827,0.0028653295128939827
ALL,mkt-rf-alpha,0.0,0.0,1,2015,0.9252,-0.0002,0.30515094968056605,1,0.0008,0.7871,0.0062954428016439926,0.0028653295128939827,0.0028653295128939827
FCNCA,mkt-rf-alpha,0.0,0.0,1,2015,1.0412,0.0003,0.2855341029153869,1,0.0005,0.7157,0.005890735764395452,0.0028653295128939827,0.0028653295128939827
MTB,mkt-rf-alpha,0.0,0.0,1,2015,1.1233,0.0001,0.009691656437558807,1,0.0002,0.8742,0.0001999445481644587,0.0028653295128939827,0.0028653295128939827
WRB,mkt-rf-alpha,0.038055797555869145,0.038055797555869145,1,2015,0.8674,0.0004,0.28444427809509903,1,0.0005,0.7164,0.005868252040103863,0.0028653295128939827,0.0028653295128939827
MKL,mkt-rf-alpha,0.3817831118985179,0.3817831118985179,1,2015,0.856,0.0012,0.3290492510968758,1,0.0004,0.6173,0.006788478755752338,0.0028653295128939827,0.0028653295128939827
EG,mkt-rf-alpha,0.17955904480586132,0.17955904480586132,1,2015,0.7323,0.0005,0.06589547931239775,1,0.0002,0.7298,0.0013594623294876636,0.0028653295128939827,0.0028653295128939827
ERIE,mkt-rf-alpha,0.047550604189526606,0.047550604189526606,1,2015,0.8426,0.0004,1.3762930587633695,1,0.0009,0.4571,0.028393731819659644,0.0028653295128939827,0.0028653295128939827
SEIC,mkt-rf-alpha,0.0,0.0,1,2015,1.121,0.0011,0.008017996892116895,1,0.0003,0.8888,0.00016541597157380863,0.0028653295128939827,0.0028653295128939827
SSB,mkt-rf-alpha,0.0,0.0,1,2015,0.967,0.0003,0.10470102737764325,1,0.0003,0.7646,0.0021600435122987685,0.0028653295128939827,0.0028653295128939827
BPOP,mkt-rf-alpha,0.0,0.0,1,2015,0.9472,-0.0002,0.055075075739540916,1,0.0006,0.8708,0.0011362310668783476,0.0028653295128939827,0.0028653295128939827
OZK,mkt-rf-alpha,0.0,0.0,1,2015,1.2135,0.0013,0.1609048502524824,1,0.0014,0.8673,0.003319561293621978,0.0028653295128939827,0.0028653295128939827
UBSI,mkt-rf-alpha,0.0,0.0,1,2015,1.0568,0.0003,0.1217490013521443,1,0.0009,0.86,0.0025117531994314317,0.0028653295128939827,0.0028653295128939827
ESGR,mkt-rf-alpha,0.0,0.0,1,2015,0.5701,0.0002,0.38941776167781433,1,0.0004,0.5656,0.008033916483475532,0.0028653295128939827,0.0028653295128939827
RDN,mkt-rf-alpha,0.0,0.0,1,2015,0.785,-0.0005,0.05974575354077421,1,0.0006,0.8684,0.0012325898852708606,0.0028653295128939827,0.0028653295128939827
SLM,mkt-rf-alpha,0.0,0.0,1,2015,0.6691,-0.0016,0.0948926039950536,1,0.0002,0.6553,0.001957689993674497,0.0028653295128939827,0.0028653295128939827
ABCB,mkt-rf-alpha,0.303221244107126,0.303221244107126,1,2015,0.8788,0.0012,0.8017996892116916,1,0.0009,0.6416,0.016541597157380905,0.0028653295128939827,0.0028653295128939827
BANF,mkt-rf-alpha,0.0,0.0,1,2015,1.024,-0.0,0.09808423382589622,1,0.0006,0.8487,0.0020235351862427117,0.0028653295128939827,0.0028653295128939827
PPBI,mkt-rf-alpha,0.9516246519604452,0.9516246519604452,1,2015,0.6561,0.0011,0.5428884497633336,1,0.0005,0.5504,0.011200106657822758,0.0028653295128939827,0.0028653295128939827
SFNC,mkt-rf-alpha,0.0,0.0,1,2015,1.0064,0.0014,0.09715009826564963,1,0.0005,0.8367,0.0020042634225642102,0.0028653295128939827,0.0028653295128939827
MCY,mkt-rf-alpha,0.0,0.0,1,2015,0.7295,-0.0005,0.45169346569425617,1,0.0006,0.667,0.009318700728708995,0.0028653295128939827,0.0028653295128939827
SBCF,mkt-rf-alpha,0.13445871329598824,0.13445871329598824,1,2015,0.7912,0.0005,0.4610348212967225,1,0.0006,0.6622,0.009511418365494016,0.0028653295128939827,0.0028653295128939827
PRK,mkt-rf-alpha,0.0,0.0,1,2015,1.0688,0.0005,0.03771572324495772,1,0.0004,0.8668,0.0007780974585195191,0.0028653295128939827,0.0028653295128939827
SNEX,mkt-rf-alpha,0.14318780971725412,0.14318780971725412,1,2015,0.9498,0.0025,0.09294648824453973,1,0.0005,0.8394,0.0019175404860109501,0.0028653295128939827,0.0028653295128939827
STC,mkt-rf-alpha,0.0,0.0,1,2015,0.9823,0.0004,0.33181273546260526,1,0.0006,0.7286,0.00684549105663457,0.0028653295128939827,0.0028653295128939827
LKFN,mkt-rf-alpha,0.07657102123917324,0.07657102123917324,1,2015,0.8668,0.0005,0.09866806855105031,1,0.0006,0.8484,0.0020355800385417743,0.0028653295128939827,0.0028653295128939827
CHCO,mkt-rf-alpha,0.0,0.0,1,2015,0.9183,0.0003,0.04756306894255766,1,0.0003,0.838,0.000981253967297062,0.0028653295128939827,0.0028653295128939827
HMN,mkt-rf-alpha,0.07366132243208465,0.07366132243208465,1,2015,0.8706,0.0005,0.08344944338203233,1,0.0003,0.7919,0.0017216108886128469,0.0028653295128939827,0.0028653295128939827
FBNC,mkt-rf-alpha,0.0,0.0,1,2015,0.9884,0.0004,0.41740290617020287,1,0.0008,0.7459,0.008611266403677318,0.0028653295128939827,0.0028653295128939827
BUSE,mkt-rf-alpha,0.007121104975243093,0.007121104975243093,1,2015,0.9606,0.0006,0.2998575148391684,1,0.0007,0.7707,0.006186236140799146,0.0028653295128939827,0.0028653295128939827
SRCE,mkt-rf-alpha,0.0,0.0,1,2015,1.0477,-0.0001,0.1304675999144461,1,0.0005,0.8153,0.002691622993764115,0.0028653295128939827,0.0028653295128939827
CSWC,mkt-rf-alpha,0.0,0.0,1,2015,0.3945,0.0001,0.3263246890461564,1,0.0003,0.4799,0.006732269445023373,0.0028653295128939827,0.0028653295128939827
PFBC,mkt-rf-alpha,0.09265093569939963,0.09265093569939963,1,2015,0.9184,0.0008,0.5018643297425022,1,0.0015,0.807,0.010353755036275206,0.0028653295128939827,0.0028653295128939827
PEBO,mkt-rf-alpha,0.0,0.0,1,2015,0.8178,-0.0008,0.11707832355091095,1,0.0009,0.8615,0.0024153943810389174,0.0028653295128939827,0.0028653295128939827
OCFC,mkt-rf-alpha,0.6466805598754377,0.6466805598754377,1,2015,0.7255,0.001,0.047212768107465115,1,0.0002,0.7778,0.0009740270559176225,0.0028653295128939827,0.0028653295128939827
BRKL,mkt-rf-alpha,0.04088892534171861,0.04088892534171861,1,2015,0.949,0.0009,0.373031467058488,1,0.0005,0.6595,0.007695857628948475,0.0028653295128939827,0.0028653295128939827
RBCAA,mkt-rf-alpha,0.0,0.0,1,2015,0.968,0.0009,0.11731185744097276,1,0.0003,0.7484,0.002420212321958546,0.0028653295128939827,0.0028653295128939827
CFFN,mkt-rf-alpha,0.08736753523389672,0.08736753523389672,1,2015,0.7386,0.0004,0.6378588983884078,1,0.0005,0.4894,0.013159402631803797,0.0028653295128939827,0.0028653295128939827
PFC,mkt-rf-alpha,0.12680161117207092,0.12680161117207092,1,2015,0.8012,0.0005,1.1503879424437258,1,0.0013,0.6528,0.023733176970075237,0.0028653295128939827,0.0028653295128939827
TMP,mkt-rf-alpha,0.0,0.0,1,2015,1.0084,0.0004,0.008874287822343053,1,0.0005,0.8934,0.00018308175494577043,0.0028653295128939827,0.0028653295128939827
EGBN,mkt-rf-alpha,0.17393107474478206,0.17393107474478206,1,2015,0.9255,0.0014,0.1037279695023863,1,0.0006,0.8458,0.002139968758466995,0.0028653295128939827,0.0028653295128939827
HFWA,mkt-rf-alpha,0.18407673505897248,0.18407673505897248,1,2015,0.7264,0.0005,0.011832383763123984,1,0.0002,0.8687,0.0002441090065943588,0.0028653295128939827,0.0028653295128939827
