year,ticker,weight,alpha,beta
2014,NVDA,0.000130773395102,0.0006,1.1797
2014,UNH,0.0004584632842426,0.0008,0.9939
2014,WMT,0.0001664923494197,0.0,0.6995
2014,JNJ,0.000176367589731,0.0001,0.8959
2014,HD,7.816147650699037e-05,0.0006,0.8711
2014,MRK,0.0001239237603328,0.0001,0.7423
2014,ADBE,3.32396386650695e-05,0.0003,1.008
2014,NVS,0.0005457856219746,0.0004,0.6756
2014,AZN,0.0003110070363592,0.0004,0.8598
2014,INTU,0.000240031373015,0.0003,0.9699
2014,WFC,5.227574020144947e-05,0.0005,0.9351
2014,CMCSA,6.517658605502257e-05,0.0,1.0672
2014,NKE,0.0003392039991206,0.0004,0.9029
2014,SPGI,6.101637843448927e-05,0.0001,1.0919
2014,SYK,7.81614765069902e-06,0.0006,0.8423
2014,UPS,0.0001775442141086,-0.0001,0.8536
2014,MDT,8.320415241066641e-06,0.0005,0.9847
2014,TJX,0.0002022113037374,-0.0,1.0141
2014,VRTX,0.0003097043450841,0.0016,0.9811
2014,PGR,0.0001009795849711,-0.0002,0.8422
2014,LMT,0.0002593196083465,0.0008,0.8225
2014,ADP,0.0001346814689273,0.0003,0.9599
2014,CI,0.0006748781251087,0.0003,0.8882
2014,MMC,4.286274518125227e-06,0.0004,0.9206
2014,BSX,0.0006179799319955,0.0001,0.9142
2014,GSK,0.0008426311435043,-0.001,0.6807
2014,SNPS,0.0001152671666982,-0.0,0.8843
2014,RELX,0.000470481661813,0.0003,0.6691
2014,WM,0.0001762415228335,0.0003,0.7834
2014,BDX,0.0001559867746204,0.0006,0.6662
2014,MCK,0.0005042675903676,0.0005,0.8631
2014,NOC,0.0005370449837415,0.0007,1.0913
2014,CTAS,0.0006005827001279,0.0008,1.0436
2014,ORLY,0.0004687587475459,0.0012,0.966
2014,USB,0.000251965705987,0.0002,0.9149
2014,PNC,9.463421779233458e-05,0.0004,0.9449
2014,MNST,5.479707815328787e-05,0.0015,0.988
2014,EPD,0.0002650766633366,0.0003,0.8179
2014,MMM,9.429803939875612e-05,0.0003,1.1239
2014,AJG,0.0003171843143412,-0.0002,0.7634
2014,AZO,0.0004851054219337,0.0007,0.7908
2014,APD,7.564013855515207e-06,0.0006,1.2375
2014,COR,0.0016565190343578,0.0007,0.7002
