ticker,factor,year,coefficient,t-value
MSFT,mkt-rf,2016,1.3062,15.7983
MSFT,smb,2016,-0.3306,-2.6568
MSFT,hml,2016,-0.0935,-0.6906
MSFT,rmw,2016,0.1371,0.8314
MSFT,cma,2016,-0.7812,-3.7959
MSFT,mom,2016,0.2197,2.7061
MSFT,alpha,2016,0.0006,0.9672
MSFT,total_return,2016,0.1504,1.0
AAPL,mkt-rf,2016,0.9816,9.5453
AAPL,smb,2016,-0.1133,-0.7323
AAPL,hml,2016,-0.2173,-1.2908
AAPL,rmw,2016,0.4478,2.1826
AAPL,cma,2016,-0.9683,-3.7831
AAPL,mom,2016,-0.0186,-0.1843
AAPL,alpha,2016,0.0005,0.6894
AAPL,total_return,2016,0.1242,1.0
GOOGL,mkt-rf,2016,1.075,14.4147
GOOGL,smb,2016,-0.3019,-2.6899
GOOGL,hml,2016,-0.188,-1.5398
GOOGL,rmw,2016,-0.201,-1.3513
GOOGL,cma,2016,-0.7466,-4.0217
GOOGL,mom,2016,0.4074,5.564
GOOGL,alpha,2016,0.0004,0.8175
GOOGL,total_return,2016,0.0184,1.0
AMZN,mkt-rf,2016,1.1441,8.8035
AMZN,smb,2016,-0.2099,-1.0729
AMZN,hml,2016,0.0633,0.2977
AMZN,rmw,2016,-0.5531,-2.1332
AMZN,cma,2016,-1.5748,-4.8682
AMZN,mom,2016,0.5981,4.6872
AMZN,alpha,2016,0.0011,1.1813
AMZN,total_return,2016,0.1094,1.0
NVDA,mkt-rf,2016,1.2508,5.3211
NVDA,smb,2016,1.4336,4.0523
NVDA,hml,2016,-0.4712,-1.2245
NVDA,rmw,2016,0.0813,0.1733
NVDA,cma,2016,-0.8576,-1.4658
NVDA,mom,2016,0.5597,2.4249
NVDA,alpha,2016,0.0051,3.0439
NVDA,total_return,2016,2.2685,1.0
META,mkt-rf,2016,1.0744,8.5438
META,smb,2016,-0.4356,-2.3014
META,hml,2016,-0.1437,-0.698
META,rmw,2016,-0.8475,-3.3782
META,cma,2016,-1.1399,-3.6416
META,mom,2016,0.407,3.2959
META,alpha,2016,0.001,1.1627
META,total_return,2016,0.0999,1.0
BRK-B,mkt-rf,2016,0.9104,19.8178
BRK-B,smb,2016,-0.0195,-0.2818
BRK-B,hml,2016,0.5266,7.002
BRK-B,rmw,2016,0.1309,1.4279
BRK-B,cma,2016,0.0673,0.5882
BRK-B,mom,2016,0.1374,3.046
BRK-B,alpha,2016,0.0001,0.202
BRK-B,total_return,2016,0.2335,1.0
LLY,mkt-rf,2016,0.7406,6.0864
LLY,smb,2016,-0.0865,-0.4721
LLY,hml,2016,-0.8727,-4.3811
LLY,rmw,2016,-0.4576,-1.8849
LLY,cma,2016,0.6396,2.1115
LLY,mom,2016,-0.0697,-0.583
LLY,alpha,2016,-0.0002,-0.2819
LLY,total_return,2016,-0.1034,1.0
TSLA,mkt-rf,2016,1.0816,5.6122
TSLA,smb,2016,0.0774,0.2668
TSLA,hml,2016,-1.185,-3.7562
TSLA,rmw,2016,-0.3597,-0.9357
TSLA,cma,2016,-0.0615,-0.1281
TSLA,mom,2016,-0.2499,-1.3205
TSLA,alpha,2016,-0.0,-0.0094
TSLA,total_return,2016,-0.11,1.0
AVGO,mkt-rf,2016,1.4396,11.9318
AVGO,smb,2016,-0.1549,-0.8531
AVGO,hml,2016,-0.2866,-1.4509
AVGO,rmw,2016,0.0369,0.1535
AVGO,cma,2016,-0.7573,-2.5216
AVGO,mom,2016,-0.0664,-0.5608
AVGO,alpha,2016,0.0007,0.8302
AVGO,total_return,2016,0.2363,1.0
V,mkt-rf,2016,1.2499,15.564
V,smb,2016,-0.2631,-2.1765
V,hml,2016,-0.3603,-2.7408
V,rmw,2016,-0.0331,-0.2063
V,cma,2016,-0.1757,-0.8791
V,mom,2016,0.1163,1.4749
V,alpha,2016,-0.0,-0.0084
V,total_return,2016,0.014,1.0
TSM,mkt-rf,2016,1.2003,11.2631
TSM,smb,2016,-0.0804,-0.5011
TSM,hml,2016,-0.3763,-2.1569
TSM,rmw,2016,0.1942,0.9135
TSM,cma,2016,0.1898,0.7156
TSM,mom,2016,0.1044,0.9977
TSM,alpha,2016,0.0009,1.1351
TSM,total_return,2016,0.3123,1.0
NVO,mkt-rf,2016,0.8317,5.5254
NVO,smb,2016,-0.3437,-1.5171
NVO,hml,2016,-0.6556,-2.6607
NVO,rmw,2016,-0.8913,-2.9681
NVO,cma,2016,0.158,0.4217
NVO,mom,2016,-0.0139,-0.0939
NVO,alpha,2016,-0.0013,-1.2313
NVO,total_return,2016,-0.3481,1.0
JPM,mkt-rf,2016,1.1013,17.3275
JPM,smb,2016,0.0078,0.0816
JPM,hml,2016,1.3863,13.3238
JPM,rmw,2016,-0.5712,-4.5045
JPM,cma,2016,-1.0447,-6.6032
JPM,mom,2016,0.0258,0.4129
JPM,alpha,2016,0.0001,0.1969
JPM,total_return,2016,0.345,1.0
UNH,mkt-rf,2016,0.8169,9.2333
UNH,smb,2016,-0.0968,-0.7266
UNH,hml,2016,0.0259,0.1786
UNH,rmw,2016,-0.0452,-0.2563
UNH,cma,2016,-0.4045,-1.8368
UNH,mom,2016,0.1168,1.3442
UNH,alpha,2016,0.0012,1.869
UNH,total_return,2016,0.3841,1.0
WMT,mkt-rf,2016,0.7393,7.472
WMT,smb,2016,-0.3087,-2.0732
WMT,hml,2016,-0.4177,-2.5792
WMT,rmw,2016,0.7417,3.7575
WMT,cma,2016,0.5901,2.396
WMT,mom,2016,0.0099,0.1023
WMT,alpha,2016,0.0004,0.5698
WMT,total_return,2016,0.1596,1.0
MA,mkt-rf,2016,1.18,14.8547
MA,smb,2016,-0.1543,-1.2902
MA,hml,2016,-0.2956,-2.2733
MA,rmw,2016,-0.0834,-0.5263
MA,cma,2016,-0.0949,-0.4802
MA,mom,2016,0.0674,0.8642
MA,alpha,2016,0.0001,0.1625
MA,total_return,2016,0.0694,1.0
XOM,mkt-rf,2016,0.8378,10.363
XOM,smb,2016,-0.4874,-4.0055
XOM,hml,2016,0.1479,1.1177
XOM,rmw,2016,-0.3067,-1.9014
XOM,cma,2016,0.8556,4.2518
XOM,mom,2016,-0.1548,-1.9503
XOM,alpha,2016,0.0,0.0189
XOM,total_return,2016,0.199,1.0
JNJ,mkt-rf,2016,0.659,10.3106
JNJ,smb,2016,-0.2133,-2.217
JNJ,hml,2016,-0.1979,-1.8917
JNJ,rmw,2016,0.0366,0.2869
JNJ,cma,2016,0.2817,1.7707
JNJ,mom,2016,0.1035,1.6486
JNJ,alpha,2016,0.0005,0.9983
JNJ,total_return,2016,0.1532,1.0
PG,mkt-rf,2016,0.8002,12.5966
PG,smb,2016,-0.433,-4.5286
PG,hml,2016,-0.2458,-2.364
PG,rmw,2016,0.3875,3.058
PG,cma,2016,0.6305,3.9876
PG,mom,2016,0.1021,1.637
PG,alpha,2016,0.0001,0.263
PG,total_return,2016,0.0935,1.0
ASML,mkt-rf,2016,1.3095,11.4885
ASML,smb,2016,0.0709,0.4133
ASML,hml,2016,-0.5459,-2.9256
ASML,rmw,2016,0.1264,0.5561
ASML,cma,2016,0.1935,0.6821
ASML,mom,2016,-0.0161,-0.1443
ASML,alpha,2016,0.0007,0.8785
ASML,total_return,2016,0.2788,1.0
HD,mkt-rf,2016,1.0781,13.5672
HD,smb,2016,-0.051,-0.4267
HD,hml,2016,-0.3338,-2.5661
HD,rmw,2016,0.3377,2.13
HD,cma,2016,0.4208,2.1273
HD,mom,2016,0.1592,2.0406
HD,alpha,2016,-0.0002,-0.2756
HD,total_return,2016,0.0352,1.0
MRK,mkt-rf,2016,0.7629,7.6292
MRK,smb,2016,-0.2156,-1.4326
MRK,hml,2016,-0.2433,-1.4866
MRK,rmw,2016,-0.5028,-2.5202
MRK,cma,2016,0.0153,0.0615
MRK,mom,2016,-0.0738,-0.7518
MRK,alpha,2016,0.0005,0.683
MRK,total_return,2016,0.1512,1.0
ORCL,mkt-rf,2016,1.0866,14.828
ORCL,smb,2016,-0.1423,-1.2903
ORCL,hml,2016,0.1509,1.258
ORCL,rmw,2016,0.3886,2.6584
ORCL,cma,2016,-0.2711,-1.4862
ORCL,mom,2016,-0.0168,-0.2334
ORCL,alpha,2016,-0.0003,-0.5549
ORCL,total_return,2016,0.0685,1.0
COST,mkt-rf,2016,0.7605,8.8541
COST,smb,2016,0.0975,0.7543
COST,hml,2016,0.0997,0.7092
COST,rmw,2016,0.7087,4.1358
COST,cma,2016,-0.1301,-0.6087
COST,mom,2016,0.2994,3.5495
COST,alpha,2016,-0.0002,-0.4028
COST,total_return,2016,0.0027,1.0
ABBV,mkt-rf,2016,0.6639,5.163
ABBV,smb,2016,0.2303,1.1898
ABBV,hml,2016,-0.9157,-4.3505
ABBV,rmw,2016,-0.6403,-2.4962
ABBV,cma,2016,-0.0649,-0.2027
ABBV,mom,2016,-0.2855,-2.2612
ABBV,alpha,2016,0.0006,0.7027
ABBV,total_return,2016,0.098,1.0
CVX,mkt-rf,2016,1.0916,11.4638
CVX,smb,2016,-0.4625,-3.2271
CVX,hml,2016,0.2577,1.653
CVX,rmw,2016,-0.0838,-0.441
CVX,cma,2016,0.7318,3.0874
CVX,mom,2016,-0.2827,-3.0233
CVX,alpha,2016,0.0003,0.3762
CVX,total_return,2016,0.3679,1.0
CRM,mkt-rf,2016,1.2761,8.5994
CRM,smb,2016,-0.2773,-1.2414
CRM,hml,2016,-0.4811,-1.9804
CRM,rmw,2016,-1.1005,-3.7173
CRM,cma,2016,-0.8761,-2.3718
CRM,mom,2016,0.2403,1.6494
CRM,alpha,2016,0.0001,0.0828
CRM,total_return,2016,-0.127,1.0
ADBE,mkt-rf,2016,1.3962,15.4217
ADBE,smb,2016,-0.2164,-1.5878
ADBE,hml,2016,-0.4265,-2.8776
ADBE,rmw,2016,-0.3969,-2.1972
ADBE,cma,2016,-0.2852,-1.2655
ADBE,mom,2016,0.2697,3.0332
ADBE,alpha,2016,0.0005,0.7787
ADBE,total_return,2016,0.0958,1.0
TM,mkt-rf,2016,1.0915,10.6451
TM,smb,2016,-0.0513,-0.3327
TM,hml,2016,0.4842,2.8849
