year,ticker,weight,alpha,beta
2004,BRK-B,0.0006658465586091,-0.0002,0.3539
2004,NVO,0.0014129562093144,0.0008,0.7468
2004,UNH,0.0001758842886643,0.0009,0.9344
2004,PG,0.0001693677626124,0.0001,0.8856
2004,CVX,3.580219657491148e-05,0.0002,0.9231
2004,AMD,5.8199852625020045e-06,0.0031,0.7444
2004,BAC,4.597169210008097e-06,0.0001,1.099
2004,KO,4.411424999502711e-05,-0.001,0.7877
2004,NVS,0.0004279082249517,0.0001,0.829
2004,MCD,3.5755760522285296e-06,0.0008,0.8225
2004,AZN,5.02283302574959e-05,-0.0015,0.9894
2004,CSCO,0.0001184274128813,-0.0001,1.1241
2004,HSBC,0.000316275954438,-0.0001,0.8515
2004,BHP,0.0008824397867426,0.0,1.3929
2004,TXN,1.54632055245727e-05,0.0005,0.8981
2004,RY,0.0013705291358981,0.0002,0.4637
2004,COP,0.0001094033399876,0.0005,0.872
2004,SYK,0.0001197585797233,0.0004,1.1662
2004,PLD,0.0001136909355134,-0.0,0.8434
2004,RIO,0.0006853187433437,-0.0003,1.1948
2004,BLK,0.0003684545989058,0.0008,0.8673
2004,TD,0.0015814107295585,0.0007,0.4799
2004,CI,0.0001531151441932,0.0007,1.0264
2004,AMT,0.0005133969978368,0.0019,1.1379
2004,CNI,0.0010323663219888,0.0012,0.7471
2004,KLAC,1.7026552629661145e-07,0.0001,0.7279
2004,CP,0.0004674717417894,0.0004,0.7065
2004,MCO,0.0001631298528763,0.0008,0.874
2004,ENB,0.0035649576748612,0.0005,0.3183
2004,MO,0.0003749246889051,0.0004,1.0086
2004,BDX,8.186676078024504e-05,0.0008,1.1632
2004,BMO,0.0016492228450772,0.0004,0.5788
2004,BTI,0.0022277386673804,0.0008,0.453
2004,BN,0.0016833069077049,0.0018,0.6358
2004,SCCO,0.0023961467515719,-0.0013,1.5218
2004,MNST,0.0038699806258795,0.0073,0.152
2004,EPD,0.0010415606604089,-0.0,0.306
2004,FCX,0.0002882904933885,-0.0012,1.6187
2004,ADSK,0.0007496326762312,0.0041,1.096
2004,CRH,0.0043349912568797,0.001,1.0405
2004,MMM,0.0003401595641721,-0.0003,1.0858
2004,EL,0.0009815033656788,0.0004,0.8725
2004,OXY,0.0004669609452105,0.0007,0.9093
2004,PSA,0.000264453319707,0.0004,0.8226
2004,WELL,0.0001070196226195,-0.0005,0.769
2004,ODFL,0.000235245042605,0.0007,1.3773
2004,IDXX,0.0003313057568047,0.0003,0.851
2004,SPG,0.0006583703541363,0.0007,0.9037
2004,STZ,0.0007159510593929,0.0008,0.7697
2004,SRE,0.0001357790178794,0.0004,0.7099
2004,CM,0.0026248443107567,0.0005,0.6498
2004,SU,0.003677038827217,0.0005,0.7634
2004,MFC,0.0010170888606748,0.0011,0.7923
2004,ABEV,0.0039862255442874,0.0033,0.5575
2004,WDS,0.0034297358896133,0.001,0.3912
2004,CTSH,0.0001623868760343,0.0024,1.212
2004,TRP,0.0033148376167315,0.0002,0.3128
2004,NEM,0.004548751885803,-0.001,0.9375
2004,LNG,0.0108895793932461,0.0065,1.3617
2004,BCE,0.0005826331523027,0.0001,0.552
2004,CSGP,1.5416769471946673e-05,0.0002,0.5844
2004,EXC,0.0001637799576131,0.0007,0.6917
2004,XEL,0.0006721618617663,-0.0001,0.7178
2004,ACGL,0.0003041561447025,-0.0006,0.5495
2004,IMO,0.002904884665462,0.0006,0.5108
2004,ANSS,0.0002588345573392,0.0015,1.2282
2004,PEG,0.0002066094768188,0.0002,0.7712
2004,ADM,9.7980071041587e-06,0.0012,0.8948
2004,RMD,0.0001159353447237,0.0004,0.7241
2004,BF-A,0.0011133817551376,-0.0001,0.4725
2004,DVN,7.319869762332745e-05,0.0006,0.6367
2004,GOLD,0.0028562042036253,-0.0004,0.9198
2004,GIB,0.0005270801546774,-0.0,0.4414
2004,TU,0.0007191551470241,0.0016,0.4496
2004,TLK,0.0015313526648273,0.0007,0.8841
2004,CHD,0.0002655368276016,0.0005,0.6359
2004,WEC,7.242476341288839e-05,-0.0005,0.6858
2004,RCI,0.0010975625398762,0.0017,0.6277
2004,SBAC,0.0130262207535997,0.0036,1.4528
2004,MT,0.0062110542190366,0.0046,1.0178
2004,HEI-A,0.0002277224020795,0.0009,0.7498
2004,ICLR,0.0012193488272309,-0.0004,0.2988
2004,TEF,4.875785525766165e-05,0.0005,1.1789
2004,EBAY,0.000376549950747,0.0022,1.149
2004,DECK,0.0007336431954436,0.0031,1.0013
2004,ETR,7.861623709640094e-05,0.0002,0.6468
2004,CCJ,0.0045027337576503,0.0015,1.324
2004,WRB,0.0002073369749766,0.0004,0.9875
2004,ARE,0.0003105178839123,0.0001,0.8652
2004,SIRI,0.0128237957719754,0.0043,0.4683
2004,PPL,6.330781841391611e-05,0.0003,0.6728
2004,LH,0.0005452211725701,0.001,0.5047
2004,ES,0.0002505225039191,-0.0006,0.5285
2004,VTR,0.0003326214449625,-0.0002,0.9928
2004,VIV,0.0011399741346083,0.0001,1.5513
2004,MKC,0.0002308336176055,0.0007,0.6355
2004,MGA,0.0001379150763002,-0.0003,1.0098
2004,EG,0.000129154141038,-0.0004,0.948
2004,ERIE,0.0001699095165597,0.0006,0.5013
2004,WSO-B,0.000641003270454,0.0014,0.4053
2004,TKO,4.87578552576616e-05,-0.0008,0.745
2004,MAA,0.0007991644656993,0.0001,0.9246
2004,VTRS,0.0001403916657736,-0.0016,0.2934
2004,EQT,0.0001492299944568,0.0009,0.4371
2004,LOGI,8.720690683227468e-05,0.0012,0.992
2004,NICE,0.0012010375438119,0.0009,0.9745
2004,KIM,0.0009756524230479,0.0005,0.6639
2004,GEN,5.03831170995838e-05,0.0019,0.8725
2004,WPC,0.0004405543099503,0.0002,0.5061
2004,MRO,0.0003784693075889,-0.0002,0.8301
2004,ELS,0.0001144029549871,-0.0003,0.8564
2004,UHAL,0.0130262207535997,0.0023,1.2187
2004,ZBRA,0.0001605603912976,0.0008,0.8531
2004,DINO,0.0003726493223264,0.0021,0.4217
2004,SNN,0.0015781911632431,0.0006,1.0395
2004,BAP,0.0028896226828321,0.0009,0.0842
2004,RBA,0.0024004033897294,0.0005,0.4107
2004,LNT,0.0004618994154742,-0.0,0.763
2004,RNR,0.0001753889707697,-0.0004,0.821
2004,SQM,0.0030054341980822,0.0014,0.7341
2004,SRPT,0.0001620153876133,-0.0022,1.139
2004,FMS,0.0018997917850489,-0.0,0.9089
2004,REG,0.0007144341483405,0.0006,0.7239
2004,TPL,0.002320455985791,0.0036,-0.0288
2004,EVRG,0.0013253778140611,0.0,0.5835
2004,OTEX,0.001455259453257,0.0007,0.9835
2004,PAA,0.0021622019184404,0.0002,0.336
2004,YPF,0.0044356646189736,0.0009,0.3444
2004,DVA,0.0006304158504552,0.0016,0.4789
2004,PEAK,0.0006720070749242,-0.0005,0.9801
2004,CPT,0.0005090010515215,0.0,0.5321
2004,BXP,0.0005237367588883,0.0006,0.5801
2004,CLF,0.0011747856953938,0.0019,1.4927
2004,WTRG,0.0007659317307031,-0.0,0.764
2004,BIO,0.0001851714991896,-0.0005,0.6992
2004,APA,0.0008114700196453,0.0,0.7407
2004,ALV,1.3110445524837942e-05,0.0007,1.066
2004,BSAC,0.000768299969387,0.0014,0.7128
2004,EGP,0.0001119573228821,-0.0001,1.0148
2004,FRT,0.0005607153354631,0.0006,0.7222
2004,EXP,3.15146010490791e-05,0.0011,0.7111
2004,CIB,0.0059743077440633,0.0038,0.5402
2004,DCI,0.0002808607249683,-0.0004,1.0925
2004,MIDD,0.0054810794717505,0.0008,0.637
2004,GGB,0.0030853351659679,0.0011,2.2891
2004,IEP,0.0042600434679408,0.0021,0.1533
2004,PNW,2.8805831312542285e-05,0.0,0.68
2004,SF,0.0033553762906743,0.0009,0.849
2004,AU,0.002411130117886,-0.0015,0.8937
2004,ACHC,0.0092281903023807,0.0005,0.121
2004,FR,9.697395656801574e-05,0.0001,0.9203
2004,SWN,0.0006923615446587,0.0018,1.1063
2004,HAS,4.9284130520760166e-05,-0.0008,0.8768
2004,OHI,0.0024323668726205,0.0004,1.0421
2004,DAR,0.0006202308762458,0.0019,0.4703
2004,KGC,0.0009728817385745,-0.001,0.8864
2004,OGE,0.0005984214101956,-0.0001,0.7471
2004,UGP,0.0037570791032606,0.0017,0.6699
2004,AN,0.0002459872494459,-0.0002,0.8524
2004,BPOP,0.0002380776418152,0.0006,0.768
2004,ADC,0.0039489219153443,0.0003,0.2808
2004,MUR,0.0006574106757153,0.0001,0.6472
2004,GIL,0.0006025077828268,-0.0,0.3482
2004,NOVT,0.0001839332044529,0.0004,0.814
2004,NEU,0.005277828869405,-0.0012,1.1973
2004,MSM,8.267165235910168e-05,0.0002,1.0767
2004,FCFS,0.0006539124930841,0.0009,1.1248
2004,IGT,0.0002017491699772,-0.0006,1.0079
2004,SIM,0.0049838886562802,0.0031,1.4276
2004,CDP,0.0006827183243967,0.0005,0.8502
2004,DRS,0.0058398753717101,0.0025,-0.866
2004,CIGI,0.001203343867759,0.0016,0.4526
2004,PHI,0.0057113094206719,0.0012,0.8191
2004,UGI,6.943737736059357e-05,0.0006,0.4295
2004,FLO,0.0030038244149245,-0.0002,0.9891
2004,VNO,0.0010992806738234,0.0006,0.8202
2004,PAAS,0.0049339389423385,-0.0003,1.1097
2004,OZK,0.0024844216876146,0.0012,0.5223
2004,TEO,0.0056327860556808,0.0011,0.7537
2004,SID,0.0030210986265015,0.0006,2.0667
2004,FNB,0.0006905814959747,-0.0001,0.6081
2004,ASH,0.0002269794252375,0.0006,0.8151
2004,MOG-A,8.188223946445408e-06,0.0006,1.0801
