ticker,factor,year,coefficient,t-value
MSFT,mkt-rf,2004,0.858,8.6592
MSFT,smb,2004,-0.1789,-1.122
MSFT,hml,2004,-0.1095,-0.5319
MSFT,rmw,2004,-0.3316,-1.5099
MSFT,cma,2004,-0.0188,-0.0636
MSFT,mom,2004,-0.2238,-1.5805
MSFT,alpha,2004,0.0002,0.269
MSFT,total_return,2004,0.091,1.0
AAPL,mkt-rf,2004,0.8489,3.2411
AAPL,smb,2004,0.8805,2.0888
AAPL,hml,2004,-1.3335,-2.4513
AAPL,rmw,2004,0.2237,0.3853
AAPL,cma,2004,0.0793,0.1015
AAPL,mom,2004,0.6588,1.7601
AAPL,alpha,2004,0.0043,2.9264
AAPL,total_return,2004,2.0127,1.0
AMZN,mkt-rf,2004,1.5148,6.2734
AMZN,smb,2004,0.1474,0.3793
AMZN,hml,2004,-1.142,-2.2774
AMZN,rmw,2004,-1.5628,-2.9206
AMZN,cma,2004,-1.0536,-1.463
AMZN,mom,2004,0.2941,0.8524
AMZN,alpha,2004,-0.0006,-0.4592
AMZN,total_return,2004,-0.1579,1.0
NVDA,mkt-rf,2004,1.5055,4.5682
NVDA,smb,2004,-0.3427,-0.6461
NVDA,hml,2004,-2.5499,-3.7255
NVDA,rmw,2004,-1.8161,-2.4866
NVDA,cma,2004,1.3676,1.3913
NVDA,mom,2004,0.3375,0.7167
NVDA,alpha,2004,0.0017,0.8925
NVDA,total_return,2004,0.016,1.0
BRK-B,mkt-rf,2004,0.3539,3.4978
BRK-B,smb,2004,-0.0947,-0.5818
BRK-B,hml,2004,0.6224,2.9622
BRK-B,rmw,2004,-0.5491,-2.4491
BRK-B,cma,2004,-0.698,-2.3133
BRK-B,mom,2004,-0.102,-0.7058
BRK-B,alpha,2004,-0.0002,-0.2635
BRK-B,total_return,2004,0.0427,1.0
LLY,mkt-rf,2004,1.3245,10.2642
LLY,smb,2004,-0.0858,-0.4131
LLY,hml,2004,-0.3628,-1.3538
LLY,rmw,2004,0.4546,1.5898
LLY,cma,2004,-0.3927,-1.0204
LLY,mom,2004,-0.4378,-2.3742
LLY,alpha,2004,-0.0014,-1.8742
LLY,total_return,2004,-0.1754,1.0
TSM,mkt-rf,2004,1.2356,6.5046
TSM,smb,2004,-0.0412,-0.1349
TSM,hml,2004,-0.6159,-1.5612
TSM,rmw,2004,-1.0029,-2.3824
TSM,cma,2004,2.4912,4.3973
TSM,mom,2004,-0.7327,-2.6994
TSM,alpha,2004,0.0006,0.5471
TSM,total_return,2004,-0.0436,1.0
NVO,mkt-rf,2004,0.7468,4.5212
NVO,smb,2004,0.243,0.9141
NVO,hml,2004,0.3448,1.0051
NVO,rmw,2004,0.6086,1.6627
NVO,cma,2004,0.46,0.9337
NVO,mom,2004,0.0696,0.2948
NVO,alpha,2004,0.0008,0.8531
NVO,total_return,2004,0.3683,1.0
JPM,mkt-rf,2004,1.236,14.6444
JPM,smb,2004,-0.1823,-1.3419
JPM,hml,2004,0.6165,3.5171
JPM,rmw,2004,-0.1163,-0.6218
JPM,cma,2004,-0.321,-1.2753
JPM,mom,2004,-0.1494,-1.2387
JPM,alpha,2004,-0.0003,-0.611
JPM,total_return,2004,0.0997,1.0
UNH,mkt-rf,2004,0.9344,5.9599
UNH,smb,2004,-0.0489,-0.1938
UNH,hml,2004,0.1875,0.5757
UNH,rmw,2004,-0.2824,-0.8128
UNH,cma,2004,-1.7587,-3.7611
UNH,mom,2004,0.6,2.6779
UNH,alpha,2004,0.0009,1.0429
UNH,total_return,2004,0.5144,1.0
WMT,mkt-rf,2004,1.0247,10.2939
WMT,smb,2004,-0.289,-1.804
WMT,hml,2004,0.1961,0.9486
WMT,rmw,2004,0.4029,1.8265
WMT,cma,2004,0.0288,0.0971
WMT,mom,2004,-0.3699,-2.6
WMT,alpha,2004,-0.0005,-0.8303
WMT,total_return,2004,0.0055,1.0
XOM,mkt-rf,2004,1.0131,12.2514
XOM,smb,2004,-0.3453,-2.5944
XOM,hml,2004,0.0908,0.5285
XOM,rmw,2004,0.7898,4.3099
XOM,cma,2004,0.0478,0.1937
XOM,mom,2004,0.4827,4.0845
XOM,alpha,2004,0.0004,0.9212
XOM,total_return,2004,0.28,1.0
JNJ,mkt-rf,2004,0.6549,6.9604
JNJ,smb,2004,-0.1544,-1.0195
JNJ,hml,2004,-0.5451,-2.7897
JNJ,rmw,2004,0.5116,2.4536
JNJ,cma,2004,0.0738,0.2629
JNJ,mom,2004,-0.1437,-1.0691
JNJ,alpha,2004,0.0007,1.2813
JNJ,total_return,2004,0.2522,1.0
PG,mkt-rf,2004,0.8856,10.4201
PG,smb,2004,-0.3936,-2.8774
PG,hml,2004,-0.3546,-2.009
PG,rmw,2004,0.4654,2.4712
PG,cma,2004,-0.1549,-0.6109
PG,mom,2004,0.1122,0.9238
PG,alpha,2004,0.0001,0.2645
PG,total_return,2004,0.1241,1.0
ASML,mkt-rf,2004,1.4806,7.9974
ASML,smb,2004,-0.157,-0.527
ASML,hml,2004,0.1407,0.3659
ASML,rmw,2004,-0.9976,-2.4317
ASML,cma,2004,1.9819,3.5893
ASML,mom,2004,-0.6756,-2.5536
ASML,alpha,2004,-0.0006,-0.5364
ASML,total_return,2004,-0.2064,1.0
HD,mkt-rf,2004,1.2411,12.9321
HD,smb,2004,-0.1103,-0.7142
HD,hml,2004,-0.2255,-1.1312
HD,rmw,2004,-0.1733,-0.8149
HD,cma,2004,-0.9429,-3.2942
HD,mom,2004,-0.0512,-0.3732
HD,alpha,2004,0.0002,0.3089
HD,total_return,2004,0.2149,1.0
MRK,mkt-rf,2004,0.8864,3.8565
MRK,smb,2004,0.0579,0.1566
MRK,hml,2004,-1.5644,-3.2772
MRK,rmw,2004,2.6501,5.2026
MRK,cma,2004,3.288,4.7961
MRK,mom,2004,-0.4592,-1.3979
MRK,alpha,2004,-0.0009,-0.7065
MRK,total_return,2004,-0.2777,1.0
ORCL,mkt-rf,2004,1.0097,5.6751
ORCL,smb,2004,-0.1385,-0.4838
ORCL,hml,2004,-0.9648,-2.6114
ORCL,rmw,2004,-0.4267,-1.0821
ORCL,cma,2004,0.5217,0.9833
ORCL,mom,2004,0.2616,1.0289
ORCL,alpha,2004,0.0004,0.3593
ORCL,total_return,2004,0.0369,1.0
COST,mkt-rf,2004,0.7518,5.8886
COST,smb,2004,0.3326,1.619
COST,hml,2004,0.2037,0.7683
COST,rmw,2004,0.0707,0.25
COST,cma,2004,-0.3598,-0.945
COST,mom,2004,-0.3275,-1.7951
COST,alpha,2004,0.0005,0.7399
COST,total_return,2004,0.3117,1.0
CVX,mkt-rf,2004,0.9231,10.042
CVX,smb,2004,-0.057,-0.3855
CVX,hml,2004,0.1769,0.9264
CVX,rmw,2004,1.0587,5.1969
CVX,cma,2004,0.1096,0.3996
CVX,mom,2004,0.6668,5.0761
CVX,alpha,2004,0.0002,0.4607
CVX,total_return,2004,0.254,1.0
ADBE,mkt-rf,2004,0.9621,5.3967
ADBE,smb,2004,0.6068,2.115
ADBE,hml,2004,-0.7249,-1.9578
ADBE,rmw,2004,-0.4097,-1.0371
ADBE,cma,2004,-0.2789,-0.5246
ADBE,mom,2004,0.2689,1.0555
ADBE,alpha,2004,0.0017,1.6373
ADBE,total_return,2004,0.6075,1.0
TM,mkt-rf,2004,1.018,7.2184
