ticker,factor,year,coefficient,t-value
MSFT,mkt-rf,2022,1.1252,23.4517
MSFT,smb,2022,-0.7504,-6.0098
MSFT,hml,2022,-0.4341,-4.5694
MSFT,rmw,2022,0.2215,2.4017
MSFT,cma,2022,0.0237,0.1521
MSFT,mom,2022,-0.017,-0.2134
MSFT,alpha,2022,0.0002,0.3174
MSFT,total_return,2022,-0.2811,1.0
AAPL,mkt-rf,2022,1.2309,25.1461
AAPL,smb,2022,-0.3456,-2.7127
AAPL,hml,2022,-0.5973,-6.1619
AAPL,rmw,2022,0.3114,3.3095
AAPL,cma,2022,0.858,5.3928
AAPL,mom,2022,-0.1725,-2.1184
AAPL,alpha,2022,-0.0002,-0.3128
AAPL,total_return,2022,-0.2638,1.0
GOOGL,mkt-rf,2022,1.1418,17.823
GOOGL,smb,2022,-0.6446,-3.8665
GOOGL,hml,2022,-0.2558,-2.0161
GOOGL,rmw,2022,0.18,1.4615
GOOGL,cma,2022,-0.071,-0.3408
GOOGL,mom,2022,-0.1671,-1.5686
GOOGL,alpha,2022,-0.0004,-0.4875
GOOGL,total_return,2022,-0.391,1.0
AMZN,mkt-rf,2022,1.2238,14.4671
AMZN,smb,2022,-1.0621,-4.8248
AMZN,hml,2022,0.3809,2.2737
AMZN,rmw,2022,-0.2298,-1.4128
AMZN,cma,2022,-1.1662,-4.2414
AMZN,mom,2022,-0.4202,-2.9868
AMZN,alpha,2022,-0.0002,-0.1928
AMZN,total_return,2022,-0.496,1.0
NVDA,mkt-rf,2022,1.8177,18.7437
NVDA,smb,2022,-0.0996,-0.3948
NVDA,hml,2022,-0.2587,-1.3474
NVDA,rmw,2022,-0.3656,-1.9612
NVDA,cma,2022,-0.8228,-2.6104
NVDA,mom,2022,0.1705,1.0573
NVDA,alpha,2022,0.0005,0.4444
NVDA,total_return,2022,-0.5033,1.0
META,mkt-rf,2022,1.2657,8.5108
META,smb,2022,-0.5881,-1.5196
META,hml,2022,-0.4929,-1.6739
META,rmw,2022,0.1823,0.6376
META,cma,2022,0.2981,0.6167
META,mom,2022,-0.7093,-2.868
META,alpha,2022,-0.0016,-0.8497
META,total_return,2022,-0.6424,1.0
BRK-B,mkt-rf,2022,0.9031,26.7802
BRK-B,smb,2022,-0.2118,-2.4131
BRK-B,hml,2022,0.6042,9.0475
BRK-B,rmw,2022,0.0895,1.3811
BRK-B,cma,2022,0.0945,0.8618
BRK-B,mom,2022,-0.2215,-3.9484
BRK-B,alpha,2022,0.0003,0.6771
BRK-B,total_return,2022,0.0326,1.0
LLY,mkt-rf,2022,0.6448,8.7268
LLY,smb,2022,-0.2541,-1.3217
LLY,hml,2022,-0.461,-3.1512
LLY,rmw,2022,0.1071,0.754
LLY,cma,2022,0.439,1.8278
LLY,mom,2022,0.3607,2.9357
LLY,alpha,2022,0.0016,1.7077
LLY,total_return,2022,0.3423,1.0
TSLA,mkt-rf,2022,1.2211,8.2504
TSLA,smb,2022,-0.6196,-1.6084
TSLA,hml,2022,-0.204,-0.696
TSLA,rmw,2022,-1.2549,-4.41
TSLA,cma,2022,-1.2907,-2.6828
TSLA,mom,2022,0.2982,1.2113
TSLA,alpha,2022,-0.0007,-0.389
TSLA,total_return,2022,-0.6504,1.0
AVGO,mkt-rf,2022,1.2545,19.5021
AVGO,smb,2022,0.2517,1.5034
AVGO,hml,2022,-0.2494,-1.9579
AVGO,rmw,2022,0.2433,1.9676
AVGO,cma,2022,0.0052,0.0249
AVGO,mom,2022,0.1733,1.62
AVGO,alpha,2022,0.0008,0.9798
AVGO,total_return,2022,-0.1324,1.0
V,mkt-rf,2022,0.9894,15.5245
V,smb,2022,-0.3969,-2.3932
V,hml,2022,-0.1564,-1.2391
V,rmw,2022,0.1238,1.0106
V,cma,2022,0.545,2.631
V,mom,2022,-0.1462,-1.3794
V,alpha,2022,0.0005,0.6117
V,total_return,2022,-0.0343,1.0
TSM,mkt-rf,2022,1.0484,11.3589
TSM,smb,2022,0.3271,1.3619
TSM,hml,2022,0.227,1.2422
TSM,rmw,2022,-0.1158,-0.6528
TSM,cma,2022,-0.3659,-1.2198
TSM,mom,2022,0.001,0.0066
TSM,alpha,2022,-0.0005,-0.4597
TSM,total_return,2022,-0.367,1.0
NVO,mkt-rf,2022,0.5354,5.729
NVO,smb,2022,0.0005,0.0021
NVO,hml,2022,-0.4863,-2.6278
NVO,rmw,2022,-0.1112,-0.619
NVO,cma,2022,-0.0785,-0.2583
NVO,mom,2022,0.5432,3.4948
NVO,alpha,2022,0.0017,1.4909
NVO,total_return,2022,0.2455,1.0
JPM,mkt-rf,2022,1.0104,17.4807
JPM,smb,2022,-0.2321,-1.5428
JPM,hml,2022,1.0466,9.1441
JPM,rmw,2022,-0.026,-0.2338
JPM,cma,2022,-0.6301,-3.3537
JPM,mom,2022,-0.1827,-1.9002
JPM,alpha,2022,0.0,0.0528
JPM,total_return,2022,-0.1257,1.0
UNH,mkt-rf,2022,0.7563,13.1061
UNH,smb,2022,-0.3129,-2.0836
UNH,hml,2022,-0.2883,-2.5233
UNH,rmw,2022,0.0362,0.3259
UNH,cma,2022,0.2084,1.1109
UNH,mom,2022,0.5128,5.3432
UNH,alpha,2022,0.0007,0.9709
UNH,total_return,2022,0.0711,1.0
WMT,mkt-rf,2022,0.5003,6.447
WMT,smb,2022,-0.1377,-0.682
WMT,hml,2022,-0.1352,-0.88
WMT,rmw,2022,0.4582,3.0713
WMT,cma,2022,0.165,0.654
WMT,mom,2022,0.0066,0.0509
WMT,alpha,2022,0.0003,0.352
WMT,total_return,2022,-0.0044,1.0
MA,mkt-rf,2022,1.1019,18.7148
MA,smb,2022,-0.2389,-1.559
MA,hml,2022,-0.1364,-1.1695
MA,rmw,2022,0.1902,1.6803
MA,cma,2022,0.6195,3.2371
MA,mom,2022,-0.2234,-2.2813
MA,alpha,2022,0.0006,0.7802
MA,total_return,2022,-0.0266,1.0
XOM,mkt-rf,2022,0.9699,13.4157
XOM,smb,2022,-0.2636,-1.4008
XOM,hml,2022,1.2342,8.6207
XOM,rmw,2022,-1.3133,-9.4484
XOM,cma,2022,0.3581,1.5237
XOM,mom,2022,0.1567,1.3031
XOM,alpha,2022,0.002,2.2081
XOM,total_return,2022,0.8721,1.0
JNJ,mkt-rf,2022,0.3882,8.1324
JNJ,smb,2022,-0.3138,-2.5265
JNJ,hml,2022,-0.1031,-1.091
JNJ,rmw,2022,0.3225,3.5141
JNJ,cma,2022,0.284,1.8302
JNJ,mom,2022,-0.0059,-0.0746
JNJ,alpha,2022,0.0003,0.4955
JNJ,total_return,2022,0.0598,1.0
PG,mkt-rf,2022,0.5845,10.8514
PG,smb,2022,-0.0719,-0.5129
PG,hml,2022,-0.4466,-4.1876
PG,rmw,2022,0.6521,6.2968
PG,cma,2022,0.836,4.7749
